event_id,t1,A1,t2,A2,t3,A3,true_t0,true_amax,sigma_ns,tau_ns,threshold,charge,true_t_leading,true_t_trailing,true_tot
0,12.639493171232502,0.2423236615965759,17.12195678049705,1.1065151204064534,18.82377094866411,1.3972667270463974,20.266829353832136,1.49950062179986,4.0,8.0,0.3,1.49950062179986,13.091081446990948,34.13966885946606,21.048587412475115
1,14.808737252277039,0.3185321588954201,17.186481407351675,0.6804384355737597,19.243297236030255,0.977679938386139,21.0355197856367,1.0702337449454804,4.0,8.0,0.3,1.0702337449454804,14.655927617700208,32.21031884293587,17.554391225235662
2,14.94927518529538,1.0518539152015052,18.598671607537565,3.691896093949835,20.420526430127623,5.054359178005683,22.392032556839126,5.72285739502213,4.0,8.0,0.3,5.72285739502213,12.678633926788246,46.97956079340771,34.30092686661946
3,10.7842297687485,0.31303034870545476,15.463092906700702,1.6199619146133672,17.326625470153616,2.144644082197478,18.824545666548577,2.334953667740252,4.0,8.0,0.3,2.334953667740252,10.721282417233958,36.24026448847181,25.51898207123785
4,15.685208335051325,0.31191042298262056,18.422293834328254,0.7233023139593266,20.217731292148763,0.9338339289002026,21.834211259966906,1.0327815673586125,4.0,8.0,0.3,1.0327815673586125,15.544591831186356,32.72403939969035,17.179447568503992
5,12.350882893721849,0.7439841637242904,16.61017595660147,3.2218689171971993,18.609060525735373,4.5519266163699035,20.098368978045777,4.910211252069203,4.0,8.0,0.3,4.910211252069203,10.640606418001179,43.46068713859111,32.820080720589935
6,14.655679907343066,0.2391160561069034,19.869985469564597,1.586343647270322,21.804369639932247,2.099342499620998,23.10611702607452,2.2260701539179886,4.0,8.0,0.3,2.2260701539179886,15.097700308906798,40.13980160502739,25.042101296120588
7,15.244946145047308,0.8459124158429014,17.92655537207899,2.3260136547598025,21.50101398032305,4.435930146725759,22.677510995740768,4.752225590927909,4.0,8.0,0.3,4.752225590927909,13.275237469665756,45.77819786052353,32.50296039085777
8,13.959346978696091,0.39981361695822565,17.16990423976157,1.4681569709551423,20.69034842507387,2.915073253912232,22.059266429977445,3.1178882558974887,4.0,8.0,0.3,3.1178882558974887,13.403856587011465,41.78829631740554,28.384439730394075
9,18.240182746031067,1.2032964089730653,21.180088691373015,3.313104812260368,23.349288317205414,4.681024904804881,24.95167157626644,5.056201369031489,4.0,8.0,0.3,5.056201369031489,15.444472976278242,48.54837788117082,33.10390490489258
10,13.028952604017537,0.4055309206188196,14.63987267540077,0.7080085440176344,18.22113038592339,1.2907559568380675,19.176338652345812,1.320607710753179,4.0,8.0,0.3,1.320607710753179,12.289679498502593,32.03285722764896,19.743177729146367
11,12.935852240541536,0.4372453056045469,16.505752130973832,1.8371229921212278,19.3075304430071,3.316883477740837,21.144311806645316,3.6120315184633984,4.0,8.0,0.3,3.6120315184633984,12.221095945292157,42.050257133721466,29.82916118842931
12,12.117070147411395,0.5965865025325539,17.209556345739156,3.8865965060210415,19.49993688313293,5.078208231057981,20.511398157321374,5.38622198415055,4.0,8.0,0.3,5.38622198415055,10.89837863104001,44.613934260488065,33.715555629448055
13,12.791860082276447,0.1532506335146768,16.100719189300314,0.4799726610056846,18.359616866642096,0.6679771194712973,19.839226335089766,0.7216960979408388,4.0,8.0,0.3,0.7216960979408388,14.539198686416949,27.861799604263844,13.322600917846895
14,13.917939825371695,0.6306133456631476,18.50045424504787,2.820372960742663,19.729000419425905,3.5790436993032997,21.608440031495448,3.9732415718683765,4.0,8.0,0.3,3.9732415718683765,12.515928681686885,43.27688069309484,30.76095201140795
15,13.207127912027639,0.20284021785055706,17.668356183004537,0.9232160840335614,19.912034687230282,1.2328582836562438,20.79285182624191,1.2487465966647187,4.0,8.0,0.3,1.2487465966647187,14.037437689633013,33.20175686551575,19.164319175882735
16,14.379792360873013,0.3167064331309967,17.07784570106755,0.6983849672548343,19.45861832399929,0.9715281974321277,20.380375565626405,0.9786507006184147,4.0,8.0,0.3,0.9786507006184147,14.229233070915313,30.83951406318655,16.610280992271235
17,12.171379532181986,0.4572258747722602,15.311526518259674,1.3677407899110747,18.092442720401607,1.8790306099734435,19.03985339731624,2.0369661097525094,4.0,8.0,0.3,2.0369661097525094,11.210811455215545,35.3633278301092,24.152516374893654
18,15.047214560229122,0.9729813517858675,18.0575509806232,2.4569277470731024,20.050763208227934,3.1251818405848883,21.261926214119537,3.264323679006228,4.0,8.0,0.3,3.264323679006228,12.522085661114758,41.35812943710626,28.8360437759915
19,18.290392662875185,0.9897752113267277,20.570554158358686,1.9635807918894843,23.824448020416312,3.3914393909458025,24.656899010122913,3.4997641937232613,4.0,8.0,0.3,3.4997641937232613,15.790479850476194,45.31024618876052,29.519766338284327
